depth,start,count,visits,useful
8,935,0,8,0
9,935,2,0,0
9,937,2,8,0
8,939,0,12,0
9,939,2,0,0
9,941,0,0,0
10,941,1,0,0
10,942,2,0,0
6,944,0,4,0
7,944,0,0,0
8,944,0,0,0
9,944,2,0,0
9,946,2,0,0
8,948,0,0,0
9,948,2,0,0
9,950,0,0,0
10,950,1,0,0
10,951,2,0,0
7,953,0,0,0
8,953,0,0,0
9,953,2,0,0
9,955,2,0,0
8,957,0,0,0
9,957,2,0,0
9,959,0,0,0
10,959,1,0,0
10,960,2,0,0
3,962,0,0,0
4,962,0,0,0
5,962,0,0,0
6,962,0,0,0
7,962,0,0,0
8,962,0,0,0
9,962,2,0,0
9,964,2,0,0
8,966,0,0,0
9,966,2,0,0
9,968,2,0,0
7,970,0,0,0
8,970,0,0,0
9,970,2,0,0
9,972,2,0,0
8,974,0,0,0
9,974,2,0,0
9,976,0,0,0
10,976,1,0,0
10,977,2,0,0
6,979,0,0,0
7,979,0,0,0
8,979,0,0,0
9,979,2,0,0
9,981,2,0,0
8,983,0,0,0
9,983,2,0,0
9,985,2,0,0
7,987,0,0,0
8,987,0,0,0
9,987,2,0,0
9,989,2,0,0
8,991,0,0,0
9,991,2,0,0
9,993,0,0,0
10,993,1,0,0
10,994,2,0,0
5,996,0,0,0
6,996,0,0,0
7,996,0,0,0
8,996,0,0,0
9,996,2,0,0
9,998,2,0,0
8,1000,0,0,0
9,1000,2,0,0
9,1002,2,0,0
7,1004,0,0,0
8,1004,0,0,0
9,1004,2,0,0
9,1006,2,0,0
8,1008,0,0,0
9,1008,2,0,0
9,1010,0,0,0
10,1010,1,0,0
10,1011,2,0,0
6,1013,0,0,0
7,1013,0,0,0
8,1013,0,0,0
9,1013,2,0,0
9,1015,2,0,0
8,1017,0,0,0
9,1017,2,0,0
9,1019,0,0,0
10,1019,1,0,0
10,1020,2,0,0
7,1022,0,0,0
8,1022,0,0,0
9,1022,2,0,0
9,1024,2,0,0
8,1026,0,0,0
9,1026,2,0,0
9,1028,0,0,0
10,1028,1,0,0
10,1029,2,0,0
4,1031,0,0,0
5,1031,0,0,0
6,1031,0,0,0
7,1031,0,0,0
8,1031,0,0,0
9,1031,2,0,0
9,1033,2,0,0
8,1035,0,0,0
9,1035,2,0,0
9,1037,2,0,0
7,1039,0,0,0
8,1039,0,0,0
9,1039,2,0,0
9,1041,2,0,0
8,1043,0,0,0
9,1043,2,0,0
9,1045,0,0,0
10,1045,1,0,0
10,1046,2,0,0
6,1048,0,0,0
7,1048,0,0,0
8,1048,0,0,0
9,1048,2,0,0
9,1050,2,0,0
8,1052,0,0,0
9,1052,2,0,0
9,1054,2,0,0
7,1056,0,0,0
8,1056,0,0,0
9,1056,2,0,0
9,1058,2,0,0
8,1060,0,0,0
9,1060,2,0,0
9,1062,0,0,0
10,1062,1,0,0
10,1063,2,0,0
5,1065,0,0,0
6,1065,0,0,0
7,1065,0,0,0
8,1065,0,0,0
9,1065,2,0,0
9,1067,2,0,0
8,1069,0,0,0
9,1069,2,0,0
9,1071,2,0,0
7,1073,0,0,0
8,1073,0,0,0
9,1073,2,0,0
9,1075,2,0,0
8,1077,0,0,0
9,1077,2,0,0
9,1079,0,0,0
10,1079,1,0,0
10,1080,2,0,0
6,1082,0,0,0
7,1082,0,0,0
8,1082,0,0,0
9,1082,2,0,0
9,1084,2,0,0
8,1086,0,0,0
9,1086,2,0,0
9,1088,0,0,0
10,1088,1,0,0
10,1089,2,0,0
7,1091,0,0,0
8,1091,0,0,0
9,1091,2,0,0
9,1093,2,0,0
8,1095,0,0,0
9,1095,2,0,0
9,1097,0,0,0
10,1097,1,0,0
10,1098,2,0,0
