mnemonic,operands,width_bits,element_type,latency_cycles,throughput_cycles,category,extension,source_file,mode_64bit,encoding
VSHUFPS,"ymm,ymm",256,fp32,0.4954,0.2106,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VUNPCKHPD,"xmm,xmm",128,fp64,0.4954,0.2105,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VUNPCKHPD,"ymm,ymm",256,fp64,0.4956,0.2107,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VUNPCKHPS,"xmm,xmm",128,fp32,0.4954,0.2105,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VUNPCKHPS,"ymm,ymm",256,fp32,0.4954,0.2106,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VUNPCKLPD,"xmm,xmm",128,fp64,0.4958,0.2106,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VUNPCKLPD,"ymm,ymm",256,fp64,0.4954,0.2105,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VUNPCKLPS,"xmm,xmm",128,fp32,0.4996,0.2401,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VUNPCKLPS,"ymm,ymm",256,fp32,0.4954,0.2105,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VPMADDUBSW,,512,int16,1.5013,0.4845,,AVX-512BW,zen4_dotproduct_complete_2026-04-04.csv,valid,evex
VPMADDWD,,512,NA,1.4409,0.4811,,AVX-512BW,zen4_dotproduct_complete_2026-04-04.csv,valid,evex
VPABSB,zmm,512,int8,0.0003,0.4900,arith_abs,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPABSW,zmm,512,int16,0.0003,0.4898,arith_abs,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPADDB,"zmm,zmm",512,int8,0.0163,0.2669,arith_add,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
